Team,First Name,Last Name,Salary,Position,,,Salary,,,,,,,,,,,,,Salary
Chicago White Sox,Tom,Gordon,"1,400,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Tony,Graffanino,"675,000",Second Baseman,,,,,,,,,,,,,,,,
Chicago White Sox,D'angelo,Jimenez,"345,000",Shortstop,,,,,,,,,,,,,,,,
Chicago White Sox,Billy,Koch,"4,250,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Paul,Konerko,"6,250,000",First Baseman,,,,,,,,,,,,,,,,
Chicago White Sox,Carlos,Lee,"4,200,000",Outfielder,,,,,,,,,,,,,,,,
Chicago White Sox,Esteban,Loaiza,"500,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Damaso,Marte,"330,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Miguel,Olivo,"300,000",Catcher,,,,,,,,,,,,,,,,
Chicago White Sox,Magglio,Ordonez,"9,000,000",Outfielder,,,,,,,,,,,,,,,,
Chicago White Sox,Josh,Paul,"325,000",Catcher,,,,,,,,,,,,,,,,
Chicago White Sox,Armando,Rios,"450,000",Outfielder,,,,,,,,,,,,,,,,
Chicago White Sox,Aaron,Rowand,"320,000",Outfielder,,,,,,,,,,,,,,,,
Chicago White Sox,Josh,Stewart,"300,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Frank,Thomas,"5,000,000",First Baseman,,,,,,,,,,,,,,,,
Chicago White Sox,Jose,Valentin,"5,000,000",Outfielder,,,,,,,,,,,,,,,,
Chicago White Sox,Ribk,White,"600,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Danny,Wright,"325,000",Pitcher,,,,,,,,,,,,,,,,
Chicago White Sox,Kelly,Wunsch,"575,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Matt,Anderson,"3,200,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Adam,Bernero,"314,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Hiram,Bocachica,"325,000",Outfielder,,,,,,,,,,,,,,,,
Detroit Tigers,Jeremy,Bonderman,"300,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Nate,Cornejo,"303,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Franklyn,German,"300,000",Pitcher,,,,,,,,,,,,,,,,
Detroit Tigers,Shane,Halter,"2,150,000",Shortstop,,,,,,,,,,,,,,,,
Detroit Tigers,Bobby,Higginson,"11,850,000",Outfielder,,,,,,,,,,,,,,,,
Detroit Tigers,Omar,Infante,"300,000",Shortstop,,,,,,,,,,,,,,,,
